DATE,NB_COUVERTS
20/08/2024,142
21/08/2024,124
22/08/2024,121
23/08/2024,94
24/08/2024,0
25/08/2024,0
26/08/2024,130
27/08/2024,146
28/08/2024,125
29/08/2024,122
30/08/2024,82
31/08/2024,0
01/09/2024,0
02/09/2024,146
03/09/2024,169
04/09/2024,163
05/09/2024,181
06/09/2024,145
07/09/2024,0
08/09/2024,0
09/09/2024,177
10/09/2024,188
11/09/2024,151
12/09/2024,190
13/09/2024,116
14/09/2024,0
15/09/2024,0
16/09/2024,166
17/09/2024,154
